"string_agg"
"Design ID|Area ID|SubArea ID|DSA ID|CSA ID|State Name|City Name|Network ID|SubArea Name|Remarks|Network Status|Status|Parent Code|Parent Type|User Name|Subarea RFS|Created By|Created On|Modified On|Modified By|Region ID|Province ID|Building Code|Created By ID|Status Remark|Status Updated By|Status Updated On|Is Visible On Map|Country Name|Origin From|Origin Ref ID|Request Approved By|Origin Ref Code|Request Ref ID|Origin Ref Description|Requested By|No Of Homepass|Last Codification Date|PRMS Id|Mzone Id|Served By Ring|"
"|||||Uttar Pradesh|Ghaziabad|GZB_001|GZB_001||Planned|A|GZB|Province1|admin||admin|02-Dec-24|||6|854||5||||true|India||||||||0||||"
"|||||Uttar Pradesh|Baghpat|BAG_001|BAG_001||Planned|A|BAG|Province1|admin||admin|16-Nov-24|||6|853||5||||true|India||||||||0||||"
