"string_agg"
"Area ID|SubArea ID|DSA ID|CSA ID|State Name|City Name|Network ID|Cable Name|Total Core|No Of Tube|No Of Core Per Tube|GIS Length|Cable Calculated Length|Cable Type|Coreaccess|Wavelength|Optical Output Power|Frequency|Attenuation Db|Resistance Ohm|Construction|Activation|Accessibility|Specification|Category|Subcategory1|Subcategory2|Subcategory3|Item Code|Network Status|Status|Pin Code|Utilization|Totalattenuationloss|Chromaticdb|Chromaticdispersion|Totalchromaticloss|Remarks|A Entity Type|B Entity Type|Cable Category|Execution Method|Total Loop Count|Total Loop Length|Parent Type|Parent Code|Route ID|Start Reading|End Reading|Cable Sub Category|Created By|Created On|Modified On|Modified By|Project Code|Project Name|Planning Code|Planning Name|Workorder Code|Workorder Name|Purpose Code|Purpose Name|Drum No|Acquire From|Circuit ID|Thirdparty Circuit ID|Province ID|Region ID|Is Used|Barcode|Project ID|Planning ID|Workorder ID|Purpose ID|Created By ID|Utilization Text|Notification Status|Ownership Type|Third Party Vendor Name|Third Party Vendor ID|Source Ref Type|Source Ref ID|Source Ref Description|Status Remark|Status Updated By|Status Updated On|Is Visible On Map|Primary POD Name|Secondary POD Name|Inner Dimension|Outer Dimension|Vendor Name|Calculated Length Remark|Country Name|Origin Ref ID|Origin From|Request Approved By|Origin Ref Code|Origin Ref Description|Requested By|BOM Sub Category|Request Ref ID|NE Id|Mzone Id|PRMS Id|Served By Ring|A Latitude|End Location Lat/Lon|A Region Name|B Region Name|A City Name|B City Name|Evoid|Used Core|Own Vendor|Manhole Count|A Location Code|B Location Code|"
"||||Uttar Pradesh|Gautam Buddha Nagar|GAU-CBL000036|-|48|6|8|420.08|421.00|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||L||||||||Feeder||0|0|Province|GAU|||||admin|21-Nov-24|||||||||||||||855|6|No||||||5|Low|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.346750 28.601927|77.350377 28.599899|Uttar Pradesh|Uttar Pradesh|Gautam Buddha Nagar|Gautam Buddha Nagar||1|OWN|||"
"||||Uttar Pradesh|Gautam Buddha Nagar|GAU-CBL000035|-|48|6|8|283.08|285.00|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||L||||||||Feeder||0|0|Province|GAU|||||admin|21-Nov-24|||||||||||||||855|6|No||||||5|Low|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.347144 28.603013|77.350034 28.602891|Uttar Pradesh|Uttar Pradesh|Gautam Buddha Nagar|Gautam Buddha Nagar||2|OWN|||"
"||||Uttar Pradesh|Gautam Buddha Nagar|GAU-CBL000034|-|48|6|8|231.99|233.00|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||L||||||||Feeder||0|0|Province|GAU|||||admin|21-Nov-24|||||||||||||||855|6|No||||||5|Low|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.347739 28.603813|77.350087 28.604109|Uttar Pradesh|Uttar Pradesh|Gautam Buddha Nagar|Gautam Buddha Nagar||2|OWN|||"
"||||Uttar Pradesh|Gautam Buddha Nagar|GAU-CBL000033|-|48|6|8|183.76|183.99|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||L||||||||Feeder||0|0|Province|GAU|||||admin|21-Nov-24|||||||||||||||855|6|No||||||5|Low|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.347934 28.604168|77.349731 28.604651|Uttar Pradesh|Uttar Pradesh|Gautam Buddha Nagar|Gautam Buddha Nagar||1|OWN|||"
"||||Uttar Pradesh|Ghaziabad|GZB-CBL000001|-|48|6|8|458.55|500.00|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||L||||||||Feeder||0|0|Province|GZB||100.00|600.00||admin|21-Nov-24|||||||||||||||854|6|No||||||5|Low|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.343788 28.626890|77.348128 28.625324|Uttar Pradesh|Uttar Pradesh|Ghaziabad|Ghaziabad||0|OWN|||"
"||||Uttar Pradesh|Gautam Buddha Nagar|GAU-CBL000032|GAU-JCL000014-GAU-FMS028|48|6|8|24.93|25.00|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||L||||||SpliceClosure|FMS|Feeder||0|0|Province|GAU|||||admin|19-Nov-24|||||||||||||||855|6|Yes||||||5|Low|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.365884 28.610201|77.366106 28.610089|Uttar Pradesh|Uttar Pradesh|Gautam Buddha Nagar|Gautam Buddha Nagar||48|OWN|||"
"||||Uttar Pradesh|Gautam Buddha Nagar|GAU-CBL000031|GAU-FMS027-GAU-JCL000014|48|6|8|19.02|20.00|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||L||||||FMS|SpliceClosure|Feeder||0|0|Province|GAU|||||admin|19-Nov-24|||||||||||||||855|6|Yes||||||5|Low|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.366080 28.610175|77.365888 28.610200|Uttar Pradesh|Uttar Pradesh|Gautam Buddha Nagar|Gautam Buddha Nagar||48|OWN|||"
"||||Uttar Pradesh|Gautam Buddha Nagar|GAU-CBL000030|GAU-JCL000014-GAU-FMS026|48|6|8|11.98|12.00|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||L||||||SpliceClosure|FMS|Feeder||0|0|Province|GAU|||||admin|19-Nov-24|||||||||||||||855|6|Yes||||||5|Low|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.365888 28.610201|77.365816 28.610114|Uttar Pradesh|Uttar Pradesh|Gautam Buddha Nagar|Gautam Buddha Nagar||24|OWN|||"
"||||Uttar Pradesh|Gautam Buddha Nagar|GAU-CBL000029|GAU-FMS025-GAU-JCL000014|48|6|8|19.68|19.70|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||L||||||FMS|SpliceClosure|Feeder||0|0|Province|GAU|||||admin|19-Nov-24|||||||||||||||855|6|Yes||||||5|Low|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.365703 28.610285|77.365883 28.610204|Uttar Pradesh|Uttar Pradesh|Gautam Buddha Nagar|Gautam Buddha Nagar||24|OWN|||"
"||||Uttar Pradesh|Gautam Buddha Nagar|GAU-CBL000028|GAU-JCL000013-GAU-FMS024|48|6|8|12.19|12.20|Underground|||||||0|0|0|48F Cable|Cable||||CBL003|Planned|A||L||||||SpliceClosure|FMS|Feeder||0|0|Province|GAU|||||admin|19-Nov-24|||||||||||||||855|6|Yes||||||5|Low|Un-blocked|Own|||WEB||||||true|||0.00|0.00|Dialog||India|||||||Proposed||||||77.365638 28.610564|77.365514 28.610561|Uttar Pradesh|Uttar Pradesh|Gautam Buddha Nagar|Gautam Buddha Nagar||0|OWN|||"
