"string_agg"
"Design ID|Area ID|SubArea ID|DSA ID|CSA ID|State Name|City Name|Network ID|Spliceclosure Name|Latitude|Longitude|Address|Specification|Category|Subcategory1|Subcategory2|Subcategory3|Item Code|Network Status|Status|Pincode|Parent Code|Parent Type|Vendor Name|No Of Ports|No Of Input Port|No Of Output Port|Acquire From|Project Code|Project Name|Planning Code|Planning Name|Workorder Code|Workorder Name|Purpose Code|Purpose Name|Created By|Created On|Modified On|Modified By|Region ID|Province ID|Is Virtual|Is Used|Barcode|Project ID|Planning ID|Workorder ID|Purpose ID|Created By ID|Utilization|Utilization Text|Notification Status|Is Buried|Ownership Type|Third Party Vendor Name|Third Party Vendor ID|Source Ref Type|Source Ref ID|Source Ref Description|Status Remark|Status Updated By|Status Updated On|Is Visible On Map|Primary POD Name|Secondary POD Name|Remarks|Country Name|Origin Ref Code|Origin From|Request Approved By|Requested By|Origin Ref ID|Origin Ref Description|Request Ref ID|BOM Sub Category|St X|St Y|Mzone Id|NE Id|PRMS Id|Served By Ring|Hierarchy Type|Section Name|Generic Section Name|Aerial Location|Route Id|Own Vendor|Spliceclosure Type|"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-JCL000014|GAU-JCL000014|28.610201|77.365883||generic|Splice Closure||||567|Planned|Approved||GAU|Province|Generic|4|0|0||||||||||admin|19-Nov-24|19-Nov-24|admin|6|855|No|Yes||||||5|L|Low|Un-blocked|No|Own|||WEB||||||true||||India||||||||Proposed|||||||||||||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-JCL000013|GAU-JCL000013|28.610563|77.365637||generic|Splice Closure||||567|Planned|Approved||GAU|Province|Generic|4|0|0||||||||||admin|19-Nov-24|19-Nov-24|admin|6|855|No|Yes||||||5|L|Low|Un-blocked|No|Own|||WEB||||||true||||India||||||||Proposed|||||||||||||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-JCL000012|GAU-JCL000012|28.611247|77.365705||generic|Splice Closure||||567|Planned|Approved||GAU|Province|Generic|4|0|0||||||||||admin|19-Nov-24|19-Nov-24|admin|6|855|No|Yes||||||5|L|Low|Un-blocked|No|Own|||WEB||||||true||||India||||||||Proposed|||||||||||||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-JCL000011|GAU-JCL000011|28.621697|77.381160||generic|Splice Closure||||567|Planned|Approved||GAU|Province|Generic|4|0|0||||||||||admin|19-Nov-24|19-Nov-24|admin|6|855|No|No||||||5|L|Low|Un-blocked|No|Own|||WEB||||||true||||India||||||||Proposed|||||||||||||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-JCL000010|GAU-JCL000010|28.611255|77.366003||generic|Splice Closure||||567|Planned|Approved||GAU|Province|Generic|4|0|0||||||||||admin|19-Nov-24|19-Nov-24|admin|6|855|No|Yes||||||5|O|Over|Un-blocked|No|Own|||WEB||||||true||||India||||||||Proposed|||||||||||||"
"|||||Haryana|Gurugram|GGN-JCL000004|GGN-JCL000004|28.418445|76.925201||generic|Splice Closure||||567|Planned|Approved||GGN|Province|Generic|4|0|0||||||||||admin|19-Nov-24|||4|1405|No|Yes||||||5|L|Low|Un-blocked|No|OWN|||planning|289|||||true||||India|||||||||||||||||||||"
"|||||Haryana|Gurugram|GGN-JCL000003|GGN-JCL000003|28.417973|76.922970||generic|Splice Closure||||567|Planned|Approved||GGN|Province|Generic|4|0|0||||||||||admin|19-Nov-24|||4|1405|No|Yes||||||5|L|Low|Un-blocked|No|OWN|||planning|289|||||true||||India|||||||||||||||||||||"
"|||||Haryana|Gurugram|GGN-JCL000002|GGN-JCL000002|28.447735|76.933857||generic|Splice Closure||||567|Planned|Approved||GGN|Province|Generic|4|0|0||||||||||admin|19-Nov-24|||4|1405|No|Yes||||||5|L|Low|Un-blocked|No|OWN|||planning|288|||||true||||India|||||||||||||||||||||"
"|||||Haryana|Gurugram|GGN-JCL000001|GGN-JCL000001|28.434301|76.945015||generic|Splice Closure||||567|Planned|Approved||GGN|Province|Generic|4|0|0||||||||||admin|19-Nov-24|||4|1405|No|Yes||||||5|L|Low|Un-blocked|No|OWN|||planning|288|||||true||||India|||||||||||||||||||||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-JCL000009|GAU-JCL000009|28.612711|77.363928||generic|Splice Closure||||567|Planned|Approved||GAU|Province|Generic|4|0|0||||||||||admin|19-Nov-24|19-Nov-24|admin|6|855|No|Yes||||||5|L|Low|Un-blocked|No|Own|||WEB||||||true||||India||||||||Proposed|||||||||||||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-JCL000008|GAU-JCL000008|28.612503|77.363491||generic|Splice Closure||||567|Planned|Approved||GAU|Province|Generic|4|0|0||||||||||admin|19-Nov-24|19-Nov-24|admin|6|855|No|Yes||||||5|L|Low|Un-blocked|No|Own|||WEB||||||true||||India||||||||Proposed|||||||||||||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-JCL000007|GAU-JCL000007|28.612241|77.363416||generic|Splice Closure||||567|Planned|Approved||GAU|Province|Generic|4|0|0||||||||||admin|19-Nov-24|19-Nov-24|admin|6|855|No|Yes||||||5|L|Low|Un-blocked|No|Own|||WEB||||||true||||India||||||||Proposed|||||||||||||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-JCL000006|GAU-JCL000006|28.611962|77.363983||generic|Splice Closure||||567|Planned|Approved||GAU|Province|Generic|4|0|0||||||||||admin|19-Nov-24|19-Nov-24|admin|6|855|No|Yes||||||5|L|Low|Un-blocked|No|Own|||WEB||||||true||||India||||||||Proposed|||||||||||||"
"|||||CENTRAL|KANDY|KAN-JCL000001|KAN-JCL000001|7.287133|80.635513||generic|Splice Closure||||567|Planned|Approved||KAN|Province|Generic|4|0|0||||||||||admin|18-Nov-24|18-Nov-24|admin|62|758|No|No||||||5|L|Low|Un-blocked|No|Own|||WEB||||||true||||Sri Lanka||||||||Proposed|||||||||||||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-JCL000005|GAU-JCL000005|28.611489|77.408380||generic|Splice Closure||||567|Planned|Approved||GAU|Province|Generic|4|0|0||||||||||admin|16-Nov-24|16-Nov-24|admin|6|855|No|Yes||||||5|L|Low|Un-blocked|No|Own|||WEB||||||true||||India||||||||Proposed|||||||||||||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-JCL000004|GAU-JCL000004|28.603569|77.346369||generic|Splice Closure||||567|Planned|Approved||GAU|Province|Generic|4|0|0||||||||||admin|16-Nov-24|16-Nov-24|admin|6|855|No|Yes||||||5|L|Low|Un-blocked|No|Own|||WEB||||||true||||India||||||||Proposed|||||||||||||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-JCL000003|GAU-JCL000003|28.604254|77.348014||generic|Splice Closure||||567|Planned|Approved||GAU|Province|Generic|4|0|0||||||||||admin|16-Nov-24|16-Nov-24|admin|6|855|No|Yes||||||5|L|Low|Un-blocked|No|Own|||WEB||||||true||||India||||||||Proposed|||||||||||||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-JCL000002|GAU-JCL000002|28.614738|77.374988||generic|Splice Closure||||567|Planned|Approved||GAU|Province|Generic|4|0|0||||||||||admin|15-Nov-24|15-Nov-24|admin|6|855|No|Yes||||||5|L|Low|Un-blocked|No|Own|||WEB||||||true||||India||||||||Proposed|||||||||||||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-JCL000001|GAU-JCL000001|28.614728|77.375151||generic|Splice Closure||||567|Planned|Approved||GAU|Province|Generic|4|0|0||||||||||admin|15-Nov-24|15-Nov-24|admin|6|855|No|Yes||||||5|L|Low|Un-blocked|No|Own|||WEB||||||true||||India||||||||Proposed|||||||||||||"
