"string_agg"
"Design ID|Area ID|SubArea ID|DSA ID|CSA ID|State Name|City Name|Network ID|FMS Name|Latitude|Longitude|Address|Specification|Category|Subcategory1|Subcategory2|Subcategory3|Item Code|Network Status|Status|Pincode|Parent Code|Parent Type|Vendor Name|No Of Port|No Of Input Port|No Of Output Port|Project Code|Project Name|Planning Code|Planning Name|Workorder Code|Workorder Name|Purpose Code|Purpose Name|Created By|Created On|Modified On|Modified By|Region ID|Province ID|Barcode|Project ID|Planning ID|Workorder ID|Purpose ID|Created By ID|Utilization|Acquire From|Utilization Text|Ownership Type|Third Party Vendor Name|Third Party Vendor ID|Source Ref Type|Source Ref ID|Source Ref Description|Status Remark|Status Updated By|Status Updated On|Is Visible On Map|Primary POD Name|Secondary POD Name|Remarks|Country Name|Origin Ref Description|Request Ref ID|Origin Ref Code|Request Approved By|BOM Sub Category|Origin Ref ID|Origin From|Requested By|St X|St Y|Mzone Id|PRMS Id|NE Id|Served By Ring|Hierarchy Type|Own Vendor Name|Installation Location Code|Fms Type|"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-FMS017|GAU-FMS017|28.612794|77.363917||48 Port ODF|FDP||||ODF003|Planned|A||GAU|Province1|Dialog|48|0|0|||||||||admin|19-Nov-24|||6|855||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-FMS016|GAU-FMS016|28.612699|77.363505||48 Port ODF|FDP||||ODF003|Planned|A||GAU|Province1|Dialog|48|0|0|||||||||admin|19-Nov-24|||6|855||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-FMS015|GAU-FMS015|28.612700|77.363470||48 Port ODF|FDP||||ODF003|Planned|A||GAU|Province1|Dialog|48|0|0|||||||||admin|19-Nov-24|||6|855||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-FMS014|GAU-FMS014|28.612036|77.363404||48 Port ODF|FDP||||ODF003|Planned|A||GAU|Province1|Dialog|48|0|0|||||||||admin|19-Nov-24|||6|855||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-FMS013|GAU-FMS013|28.612479|77.363199||96 Port ODF|FDP||||ODF005|Planned|A||GAU|Province1|Dialog|96|0|0|||||||||admin|19-Nov-24|||6|855||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-FMS012|GAU-FMS012|28.611986|77.363714||48 Port ODF|FDP||||ODF003|Planned|A||GAU|Province1|Dialog|48|0|0|||||||||admin|19-Nov-24|||6|855||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-FMS011|GAU-FMS011|28.612224|77.363889||48 Port ODF|FDP||||ODF003|Planned|A||GAU|Province1|Dialog|48|0|0|||||||||admin|19-Nov-24|||6|855||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-FMS010|GAU-FMS010|28.611419|77.408195||48 Port ODF|FDP||||ODF003|Planned|A||GAU|Province1|Dialog|48|0|0|||||||||admin|16-Nov-24|||6|855||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-FMS009|GAU-FMS009|28.611653|77.408240||48 Port ODF|FDP||||ODF003|Planned|A||GAU|Province1|Dialog|48|0|0|||||||||admin|16-Nov-24|||6|855||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-FMS008|GAU-FMS008|28.603483|77.346205||48 Port ODF|FDP||||ODF003|Planned|A||GAU|Province1|Dialog|48|0|0|||||||||admin|16-Nov-24|||6|855||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-FMS007|GAU-FMS007|28.603646|77.346297||48 Port ODF|FDP||||ODF003|Planned|A||GAU|Province1|Dialog|48|0|0|||||||||admin|16-Nov-24|||6|855||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-FMS006|GAU-FMS006|28.604163|77.347969||48 Port ODF|FDP||||ODF003|Planned|A||GAU|Province1|Dialog|48|0|0|||||||||admin|16-Nov-24|||6|855||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-FMS005|GAU-FMS005|28.604298|77.347890||48 Port ODF|FDP||||ODF003|Planned|A||GAU|Province1|Dialog|48|0|0|||||||||admin|16-Nov-24|||6|855||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||Uttar Pradesh|Baghpat|BAG-FMS001|BAG-FMS001|28.834653|77.350297||48 Port ODF|FDP||||ODF003|Planned|A||BAG|Province1|Dialog|48|0|0|||||||||admin|16-Nov-24|||6|853||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-FMS004|GAU-FMS004|28.609646|77.363024||48 Port ODF|FDP||||ODF003|Planned|A||GAU|Province1|Dialog|48|0|0|||||||||admin|16-Nov-24|||6|855||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-FMS003|GAU-FMS003|28.609835|77.360020||48 Port ODF|FDP||||ODF003|Planned|A||GAU|Province1|Dialog|48|0|0|||||||||admin|16-Nov-24|||6|855||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-FMS002|GAU-FMS002|28.614638|77.375175||48 Port ODF|FDP||||ODF003|Planned|A||GAU|Province1|Dialog|48|0|0|||||||||admin|15-Nov-24|||6|855||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-FMS001|GAU-FMS001|28.614852|77.374946||48 Port ODF|FDP||||ODF003|Planned|A||GAU|Province1|Dialog|48|0|0|||||||||admin|15-Nov-24|||6|855||||||5|L||Low|Own|||WEB||||||true||||India|||||Proposed|||||||||||OWN||"
"|||||CENTRAL|KANDY|KAN-FMS001|KAN-FMS001|7.287171|80.636615||48 Port ODF|FDP||||ODF003|Planned|A||KAN|Province1|Dialog|48|0|0|||||||||admin|15-Nov-24|||62|758||||||5|L||Low|Own|||WEB||||||true||||Sri Lanka|||||Proposed|||||||||||OWN||"
