"string_agg"
"Design ID|Area ID|SubArea ID|DSA ID|CSA ID|State Name|City Name|Network ID|Manhole Name|Latitude|Longitude|Address|Specification|Category|Subcategory1|Subcategory2|Subcategory3|Item Code|Project Code|Project Name|Planning Code|Planning Name|Workorder Code|Workorder Name|Purpose Code|Purpose Name|Network Status|Status|Region ID|Province ID|Parent Code|Parent Type|Is Virtual|Construction Type|Acquire From|Vendor Name|Created On|Created By|Modified On|Modified By|Is Used|Barcode|Project ID|Planning ID|Workorder ID|Purpose ID|Created By ID|Is Buried|Ownership Type|Third Party Vendor Name|Third Party Vendor ID|Source Ref Type|Source Ref ID|Source Ref Description|Status Remark|Status Updated By|Status Updated On|Is Visible On Map|Primary Pod Network ID|Secondary Pod Network ID|Primary POD Name|Secondary POD Name|Remarks|Manhole Type|Country Name|Requested By|BOM Sub Category|Request Ref ID|Origin Ref Description|Origin Ref ID|Origin From|Request Approved By|Origin Ref Code|St X|St Y|JC Id|NE Id|Mzone Id|PRMS Id|Area|Route Name|Authority|Served By Ring|Route Identification|Hierarchy Type|Section Name|Generic Section Name|Aerial Location|Route Id|Own Vendor Name|Chamber Remark|"
"|||||Haryana|Gurugram|GGN-MHL000014|GGN-MHL000014|28.444029|76.936721||generic|Manhole||||167|||||||||Planned|Approved|4|1405|GGN|Province|No|||Generic|19-Nov-24 03:10 PM|admin|19-Nov-24 03:10 PM|admin|No||||||5|No|Own|||WEB||||||true||||||1|India||Proposed||||||||||||||||||||||||"
"|||||Haryana|Gurugram|GGN-MHL000013|GGN-MHL000013|28.444468|76.935918||generic|Manhole||||167|||||||||Planned|Approved|4|1405|GGN|Province|No|||Generic|19-Nov-24 03:10 PM|admin|19-Nov-24 03:10 PM|admin|No||||||5|No|Own|||WEB||||||true||||||1|India||Proposed||||||||||||||||||||||||"
"|||||Haryana|Gurugram|GGN-MHL000012|GGN-MHL000012|28.441537|76.934485||generic|Manhole||||167|||||||||Planned|Approved|4|1405|GGN|Province|No|||Generic|19-Nov-24 03:10 PM|admin|19-Nov-24 03:10 PM|admin|No||||||5|No|Own|||WEB||||||true||||||1|India||Proposed||||||||||||||||||||||||"
"|||||Haryana|Gurugram|GGN-MHL000011|GGN-MHL000011|28.433571|76.944249||generic|Manhole||||167|||||||||Planned|Approved|4|1405|GGN|Province|No|||Generic|19-Nov-24 03:10 PM|admin|19-Nov-24 03:10 PM|admin|No||||||5|No|Own|||WEB||||||true||||||1|India||Proposed||||||||||||||||||||||||"
"|||||Haryana|Gurugram|GGN-MHL000010|GGN-MHL000010|28.447735|76.933857||generic|Manhole||||167|||||||||Planned|Approved|4|1405|GGN|Province|No|||Generic|19-Nov-24 03:10 PM|admin|||Yes||||||5|No|Own|||planning|288|||||true|||||||India||||||||||||||||||||||||||"
"|||||Haryana|Gurugram|GGN-MHL000009|GGN-MHL000009|28.434301|76.945015||generic|Manhole||||167|||||||||Planned|Approved|4|1405|GGN|Province|No|||Generic|19-Nov-24 03:10 PM|admin|||Yes||||||5|No|Own|||planning|288|||||true|||||||India||||||||||||||||||||||||||"
"|||||Haryana|Gurugram|GGN-MHL000008|GGN-MHL000008|28.447733|76.933914||generic|Manhole||||167|||||||||Planned|Approved|4|1405|GGN|Province|No|||Generic|19-Nov-24 03:10 PM|admin|19-Nov-24 03:10 PM|admin|No||||||5|No|Own|||WEB||||||true||||||1|India||Proposed||||||||||||||||||||||||"
"|||||Haryana|Gurugram|GGN-MHL000007|GGN-MHL000007|28.447841|76.933919||generic|Manhole||||167|||||||||Planned|Approved|4|1405|GGN|Province|No|||Generic|19-Nov-24 03:10 PM|admin|19-Nov-24 03:10 PM|admin|No||||||5|No|Own|||WEB||||||true||||||1|India||Proposed||||||||||||||||||||||||"
"|||||Haryana|Gurugram|GGN-MHL000006|GGN-MHL000006|28.447809|76.934143||generic|Manhole||||167|||||||||Planned|Approved|4|1405|GGN|Province|No|||Generic|19-Nov-24 03:10 PM|admin|19-Nov-24 03:10 PM|admin|No||||||5|No|Own|||WEB||||||true||||||1|India||Proposed||||||||||||||||||||||||"
"|||||Haryana|Gurugram|GGN-MHL000005|GGN-MHL000005|28.447806|76.934446||generic|Manhole||||167|||||||||Planned|Approved|4|1405|GGN|Province|No|||Generic|19-Nov-24 03:10 PM|admin|19-Nov-24 03:10 PM|admin|No||||||5|No|Own|||WEB||||||true||||||1|India||Proposed||||||||||||||||||||||||"
"|||||Haryana|Gurugram|GGN-MHL000004|GGN-MHL000004|28.446902|76.934405||generic|Manhole||||167|||||||||Planned|Approved|4|1405|GGN|Province|No|||Generic|19-Nov-24 03:10 PM|admin|19-Nov-24 03:10 PM|admin|No||||||5|No|Own|||WEB||||||true||||||1|India||Proposed||||||||||||||||||||||||"
"|||||Haryana|Gurugram|GGN-MHL000003|GGN-MHL000003|28.446286|76.934374||generic|Manhole||||167|||||||||Planned|Approved|4|1405|GGN|Province|No|||Generic|19-Nov-24 03:10 PM|admin|19-Nov-24 03:10 PM|admin|No||||||5|No|Own|||WEB||||||true||||||1|India||Proposed||||||||||||||||||||||||"
"|||||Haryana|Gurugram|GGN-MHL000002|GGN-MHL000002|28.445745|76.935941||generic|Manhole||||167|||||||||Planned|Approved|4|1405|GGN|Province|No|||Generic|19-Nov-24 03:09 PM|admin|19-Nov-24 03:10 PM|admin|No||||||5|No|Own|||WEB||||||true||||||1|India||Proposed||||||||||||||||||||||||"
"|||||Haryana|Gurugram|GGN-MHL000001|GGN-MHL000001|28.442845|76.932795||generic|Manhole||||167|||||||||Planned|Approved|4|1405|GGN|Province|No|||Generic|19-Nov-24 03:09 PM|admin|19-Nov-24 03:09 PM|admin|No||||||5|No|Own|||WEB||||||true||||||1|India||Proposed||||||||||||||||||||||||"
"|||||Uttar Pradesh|Gautam Buddha Nagar|GAU-MHL000001|GAU-MHL000001|28.613861|77.363908||generic|Manhole||||167|||||||||Dormant|Approved|6|855|GAU|Province|No|||Generic|18-Nov-24 11:35 AM|admin|21-Nov-24 04:43 PM|admin|No||||||5|No|Own|||WEB||||||true||||||1|India||Proposed|||||||||||||||||||||||OWN|"
"|||||UVA|BADULLA|BAD-MHL000108|BAD-MHL000108|7.355263|81.098251||generic|Manhole||||167|||||||||Planned|Approved|69|778|BAD|Province|No|||Generic|11-Nov-24 04:26 PM|admin|||No||||||5|No|Own|||WEB||||||true||||||1|Sri Lanka||Proposed||||||||||||||||||||||||"
"|||||UVA|BADULLA|BAD-MHL000107|BAD-MHL000107|7.355287|81.098226||generic|Manhole||||167|||||||||Planned|Approved|69|778|BAD|Province|No|||Generic|11-Nov-24 04:26 PM|admin|||No||||||5|No|Own|||WEB||||||true||||||1|Sri Lanka||Proposed||||||||||||||||||||||||"
"|||||UVA|BADULLA|BAD-MHL000106|BAD-MHL000106|7.355287|81.098226||generic|Manhole||||167|||||||||Planned|Approved|69|778|BAD|Province|No|||Generic|11-Nov-24 04:25 PM|admin|||No||||||5|No|Own|||WEB||||||true||||||1|Sri Lanka||Proposed||||||||||||||||||||||||"
"|||||UVA|BADULLA|BAD-MHL000105|BAD-MHL000105|7.355263|81.098251||generic|Manhole||||167|||||||||Planned|Approved|69|778|BAD|Province|No|||Generic|11-Nov-24 04:25 PM|admin|21-Nov-24 01:02 PM|admin|Yes||||||5|No|Own|||WEB||||||true||||||1|Sri Lanka||Proposed||||||||||||||||||||||||"
